,sentiment,message,tweetid
0,0,@tiniebeany climate change is an interesting hustle as it was global warming but the planet stopped warming for 15 yes while the suv boom,792927353886371840
1,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793124211518832641
2,2,Fabulous! Leonardo #DiCaprio's film on #climate change is brilliant!!! Do watch. https://t.co/7rV6BrmxjW via @youtube,793124402388832256
3,2,RT @Mick_Fanning: Just watched this amazing documentary by leonardodicaprio on climate change. We all think thisÃ¢â‚¬Â¦ https://t.co/kNSTE8K8im,793124635873275904
5,1,Unamshow awache kujinga na iko global warming https://t.co/mhIflU7M1X,793125429418815489
8,1,"RT @AmericanIndian8: Leonardo DiCaprio's climate change documentary is free for a week https://t.co/ITpdZ6kCeg
#INDIGENOUS #TAIRP https://tÃ¢â‚¬Â¦",793127097854197761
9,2,"#BeforeTheFlood Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change... https://t.co/HCIZrPUhLF",793127346106753028
10,2,RT @DrDeJarnett: It's vital that the public health community addresses climate change- via @Climate4Health's Tabola #APHA2016 https://t.co/Ã¢â‚¬Â¦,793127915269480448
11,2,"Bangladesh did not cause climate change, so the country does not need Ã¢â‚¬Å“aidÃ¢â‚¬ï†; instead it needs compensation for theÃ¢â‚¬Â¦ https://t.co/ecGXgRNROP",793129746003615745
12,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793129922210492417
13,2,Now's the time: we need a strong #FTT that works for those hardest hit by climate change and poverty!,793130016410365957
15,2,"RT @littoralsociety: The problem with global warmingÃ¢â‚¬â€and the reason it continues to resist illustration, even as the streets flood and... hÃ¢â‚¬Â¦",793130438898360320
16,2,RT @NatGeoChannel: One of the easiest ways to help combat climate change in your daily life is to stop eating beef. Here's why:Ã¢â‚¬Â¦,793131033482829824
17,2,RT @esquire: Watch Leo DiCaprio's climate change doc online for free before the world ends: https://t.co/LMY3Vqtlgg https://t.co/g8IMhrZ6v4,793132528701800449
18,2,RT @ClimateCentral: Here's how climate change will affect sea level rise (and flood cities) as the world warms https://t.co/btLitj44uUÃ¢â‚¬Â¦,793132572905644032
19,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793134328448290816
20,0,"@marie_dunkley arseholes couldn't predict tomorrows weather in a 4 month heat wave, yet we trust them on climate change! narrr",793135386558070785
21,2,"RT @antonio5591: Florida,Trump defied Cuba embargo&amp;lied to you about it.Also,he doesn't believe in climate change which will affectÃ¢â‚¬Â¦",793135814003699712
22,2,"We must combat climate change. Indigenous ppl are protesting for our earth, our water. Yet this happens: https://t.co/EUDmjbgbkx",793136121165312001
23,1,National GeographicÃ¢â‚¬â„¢s climate change documentary with Leonardo DiCaprio is now on YouTube https://t.co/1Y3koz4KDY via @thenextweb,793136234654797824
24,2,"Everyone should take the time to watch @NatGeo climate change docufilm with Leonardo DiCaprio, time to be about it and stop talking about it",793136536724398080
25,2,"BoingBoing: Watch Before the Flood, an urgent call to arms about climate change https://t.co/H5GtCYkPVu https://t.co/qC451rs0d1",793136552100724737
26,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793137654242111489
27,1,@ShellenbergerMD @DrSimEvans @bradplumer @JigarShahDC should we care about the economics when fighting climate change?,793138073542549504
28,2,"@Nadeshot its like that in alot places now, it's called climate change",793138088331522049
29,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793138745201405953
31,1,RT @TheFilmStage: Leonardo DiCaprio's climate change documentary 'Before the Flood' is now streaming for free on YouTube:Ã¢â‚¬Â¦,793139153114394629
32,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793139590265647104
33,1,"if not for climate change information, watch Before the Flood because Leonardo DiCaprio",793140314278023168
34,1,RT @C__G___: Ã¢â‚¬Å“Niggas asked me what my inspiration was I told them global warmingÃ¢â‚¬ï†,793140458893381632
35,1,RT @PlessCatherine: Team energy/climate change we should check this out #McGgovt @mariamartmcg @cocodupepe1 @marlapeyre @elisef_fant https:Ã¢â‚¬Â¦,793140748812226565
36,2,RT @retroJACE: global warming real as hell. al gore told us. leo dicaprio keep tryna tell us. its 82 degrees and its halloween. sumn aint rÃ¢â‚¬Â¦,793141154657239040
37,2,A web of truths: This is how climate change affects more than just the weather. https://t.co/RAsbCx5Rmd #ad https://t.co/lhk0m4UeMW,793141253852594177
38,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793142226599698432
39,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793142726560583680
40,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793143168078221312
42,2,"RT @Greenpeace: If climate change goes unchecked, many areas in southern Europe could become deserts. https://t.co/PGRHflqMtb #scary https:Ã¢â‚¬Â¦",793144222987722757
43,2,RT @retroJACE: global warming real as hell. al gore told us. leo dicaprio keep tryna tell us. its 82 degrees and its halloween. sumn aint rÃ¢â‚¬Â¦,793146306084663296
44,2,RT @greenpeaceusa: Did you miss the premier of @LeoDiCaprio's climate change documentary #BeforeTheFlood yesterday? Catch up here &gt;&gt; https:Ã¢â‚¬Â¦,793146637266726912
45,2,"@LeoDiCaprio @NatGeoChannel I watched it just now. Everybody, esp., world leaders must stand together and act on climate change.",793147054939705344
46,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793147083163336704
47,2,"@simeonst91 IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at https://t.co/u1UbQXLmrF ?",793147573376839680
48,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793149170940907520
49,2,Nicely said: 'Financiers are not philanthropists. But (...) allies in the fight against climate change' [in French] https://t.co/5yPUhCdEWW,793149247730356224
50,2,RT @NatGeo: Are we too late to fight climate change? https://t.co/797Rx2UXQA #YearsProject https://t.co/LV2Fy0uuge,793149503616327680
51,2,A remarkable man and his work on climate change is so impressive more people need to see it... https://t.co/JtpuX9QYFv,793149999358050304
52,2,"RT @NYTnickc: Trump, who once called climate change a hoax by the Chinese, tells Michigan crowd: 'I'm an environmentalist.'",793150293890457601
53,2,RT @NatGeoPhotos: Here's what happens when an astronaut and an actor start a conversation about climate change:Ã¢â‚¬Â¦,793150554822221825
54,2,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793150989369020418
56,2,"RT @NYTnickc: Trump, who once called climate change a hoax by the Chinese, tells Michigan crowd: 'I'm an environmentalist.'",793151562356891648
57,2,@MikeBloomberg @LeoDiCaprio why aren't you vegan? meat industry contributes GREATLY to climate change and deforestation!,793152052037836800
58,2,RT @NatGeo: Are we too late to fight climate change? https://t.co/797Rx2UXQA #YearsProject https://t.co/LV2Fy0uuge,793154006486876160
60,2,"RT @NYTnickc: Trump, who once called climate change a hoax by the Chinese, tells Michigan crowd: 'I'm an environmentalist.'",793155080795123712
61,1,"RT @IndieWire: Watch Leonardo DiCaprio's climate change documentary #BeforeTheFlood for free online 
https://t.co/g3iUV8yU0u https://t.co/LÃ¢â‚¬Â¦",793155935954960384
62,2,"RT @EnvDefenseFund: Climate change is widely accepted, but these 9 global warming effects may still surprise you. https://t.co/mvKRsnQZtd",793155980456435712
63,2,Ã‚Â«The Mediterranean will become a desert unless global warming is limited to 1.5CÃ‚Â»,793156144105660416
64,2,It's #2016 and I can't believe people still don't believe in climate change its effing science.,793156261860618241
65,2,Respecting First Nations sovereignty. Fighting petrocapitalism. Standing up against climate change. Get after it. #NoDAPL,793156295671083008
66,2,RT @greenpeaceusa: Did you miss the premier of @LeoDiCaprio's climate change documentary #BeforeTheFlood yesterday? Catch up here &gt;&gt; https:Ã¢â‚¬Â¦,793157967692505088
68,2,A huge climate change victory just happened in Rwanda Ã¢â‚¬â€ and few peopleÃ‚ noticed https://t.co/bUNb0tPnfP https://t.co/u7JwYEWChC,793158687225356288
69,1,"@annaa_page I asked my dad to watch this documentary that just came out on climate change, and legit turned it into a trump vs hillary thing",793158746629345280
70,2,RT @NiaAmari__: When everyone's glad it's 80 degree weather in October but you can't stop thinking about global warming https://t.co/g7oaRtÃ¢â‚¬Â¦,793159873450106881
71,1,"RT @explicithooker: me: Leo come over
Leo: i can't im busy
me: my friend said global warming isn't real
Leo: https://t.co/kveRTYlpIi",793160239801479168
72,1,"@chefBOYERdee1 Al Gore, creator of the internet and global warming.",793160340515106816
